Authors,Title,year,Abstract,Keywords
"Hasan MM,Young GJ,Patel MR,Modestino AS,Sanchez LD,Noor-E-Alam M",A machine learning framework to predict the risk of opioid use disorder,2021,"Opioid overdose epidemic is a national public health crisis in the US. Little is known about how large-scale data analytics can be leveraged to help physicians predict whether a prescription opioid user will develop opioid use disorder. To that end, we proposed a machine learning framework for identifying potential risk factors of opioid use disorder from a large-scale healthcare claims data. These risk factors identified by the proposed framework can be used to predict which patient will be at higher risk of opioid use disorder following an opioid prescription. We utilized clinical diagnosis and prescription histories from Massachusetts commercially insured individuals who were prescribed opioids. We performed several feature selection techniques on a class imbalanced analytic sample to identify patient-level demographic and clinical features that were influential predictors of opioid use disorder. We, then compared the predictive power of four well-known machine learning algorithms: Logistic Regression, Random Forest, Decision Tree, and Gradient Boosting to predict the patients’ risk of opioid use disorder. The study results showed that the Random Forest model achieved superior predictive performance in terms of AUC and recall. Alongside the higher predictive accuracy, the random forest model identified clinical features, some of which were fairly consistent with prior clinical findings. In addition, our proposed framework is capable of extracting some other clinical features, which are predictive of opioid use disorder and indicative as the proxies of patients’ health status. We anticipate that the findings of our study will potentially help reduce in-appropriate and over prescription of opioids.","Opioid use disorder, Opioid addiction epidemic, Risk prediction, Big data analytics, Machine learning, Predictive analytics"
"Le QT,Ooi C",Surrogate modeling of fluid dynamics with a multigrid inspired neural network architecture,2021,"Algebraic or geometric multigrid methods are commonly used in numerical solvers as they are a multi-resolution method able to handle problems with multiple scales. In this work, we propose a modification to the commonly-used U-Net neural network architecture that is inspired by the principles of multigrid methods, referred to here as U-Net-MG. We then demonstrate that this proposed U-Net-MG architecture can successfully reduce the test prediction errors relative to the conventional U-Net architecture when modeling a set of fluid dynamic problems. In total, we demonstrate an improvement in the prediction of velocity and pressure fields for the canonical fluid dynamics cases of flow past a stationary cylinder, flow past 2 cylinders in out-of-phase motion, and flow past an oscillating airfoil in both the propulsion and energy harvesting modes. In general, while both the U-Net and U-Net-MG models can model the systems well with test RMSEs of less than 1%, the use of the U-Net-MG architecture can further reduce RMSEs by between 20% and 70%.","Surrogate modeling, Machine learning, Convolutional Neural Network (CNN), Multigrid, Computational Fluid Dynamics (CFD)"
"Ramirez-Vergara J,Bosman LB,Leon-Salas WD,Wollega E",Ambient temperature and solar irradiance forecasting prediction horizon sensitivity analysis,2021,"Selecting the correct weather forecasting technique is a crucial task when planning an efficient solar energy generation system. Estimating accurate solar photovoltaic systems power output depends on the correct modeling of solar irradiance and ambient temperature, evidencing the need for a framework to select the correct technique to forecast these parameters. This paper presents a review of the forecasting methods to predict solar irradiance and ambient temperature, considering the sensitivity to the forecasting horizon. The methodology includes estimating an interval for ambient temperature and solar irradiance by using the Mean Absolute Error as the percentage of variation in these parameters. To provide context, the study considers best-case and worst-case scenarios for four cities, estimating the power output for a sample array and analyzing the differences between the cases. The power output estimation of the PV array varied between 36% and 50% (on average) for the short-term prediction, and 54% to 95% for the long-term. The changes in the location produced an average variation of 43% in terms of power production, and up to 187% in economic value (USD) for the short term, and 44.5% and 187% for the long term. The results suggest a marked sensitivity to the variation in the forecasting horizon and significance with regards to location selection (considering the changes in solar irradiation and the cost of electricity).","Machine learning, Mean absolute error, Photovoltaic systems planning, Sensitivity analysis"
"Osegi EN,Jumbo EF",Comparative analysis of credit card fraud detection in Simulated Annealing trained Artificial Neural Network and Hierarchical Temporal Memory,2021,The problem of misclassification has always been a major concern in detecting online credit card fraud in e-commerce systems. This concern greatly poses a significant challenge to financial institutions and online merchants with regards to financial loss. This paper specifically compares an Artificial Neural Network trained by the Simulated Annealing technique (SA-ANN) with a proposed emerging online learning technology in anomaly detection known as the Hierarchical Temporal Memory based on the Cortical Learning Algorithms (HTM-CLA). Comparisons are also made with a deep recurrent neural technique based on the Long Short-Term Memory ANN (LSTM-ANN). The performances of these systems are investigated on the basis of correctly classifying credit card fraud (CCF) using an average classification performance ratio metric. The results of simulations on two CCF benchmark datasets (the Australian and German CCF data) showed promising competitive performance of the proposed HTM-CLA with the SA-ANN. The HTM-CLA also clearly outperformed the LSTM-ANN in the considered benchmark datasets by a factor of 2:1.,"Hierarchical Temporal Memory, Artificial Neural Network, Simulated Annealing Algorithm, Cortical Learning Algorithm, Misclassification, Sparse distributed representation"
"Parisi L,Ma R,RaviChandran N,Lanzillotta M",hyper-sinh: An accurate and reliable function from shallow to deep learning in TensorFlow and Keras,2021,"This paper presents the ‘hyper-sinh’, a variation of the m-arcsinh activation function suit-able for Deep Learning (DL)-based algorithms for supervised learning, including Convolutional Neural Networks (CNN) and Recurrent Neural Networks (RNN), such as the Long Short-Term Memory (LSTM). hyper-sinh, developed in the open-source Python libraries TensorFlow and Keras, is thus described and validated as an accurate and reliable activation function for shallow and deep neural networks. Improvements in accuracy and reliability in image and text classification tasks on six (N=6) medium-to-large open-source benchmark datasets are discussed. Experimental results demonstrate that the overall competitive classification performance of the novel hyper-sinh function on shallow and deep neural networks yielded the highest performance. Furthermore, this activation is evaluated against other gold standard activation functions, demonstrating its overall competitive accuracy and reliability for both image and text classification tasks.","Activation, Deep learning, Convolutional Neural Network, Long short-term memory, TensorFlow, Keras"
"Murashova GA,Colbry D",GM FASST: General Method for Labeling Augmented Sub-sampled Images from a Small Data Set for Transfer Learning,2021,"In this work, the use of transfer learning was explored to achieve the overall goal of classifying a small number (approx. 215 images) of Nonlinear Multiphoton Multimodal Microscopy Images of unstained oral cancer biopsies into three categories—healthy, inflammatory, and cancerous. This is achieved by first training a neural network model to detect basic histological components of human tissues, such as the stroma and mucosa, from a much larger (5000 images) Kaggle data set containing images of stained human colorectal cancer biopsies. Experiments were conducted to optimize the model’s architecture and hyperparameters, i.e., hidden layers, optimizers, and API callback functions used prior to retraining the model on a new and much smaller data set consisting of 215 Nonlinear Multiphoton Multimodal Microscopy Images. In addition to having different class labels, these images were acquired using an entirely different imaging and detection set up, and thus have different features than the Kaggle data set. In order to expand the limited size of the Nonlinear Multiphoton Multimodal Microscopy Images data set; tiling methods were used to sub-sample and augment the images though standard transforms such as rotation, scaling and mirroring. This research shows transfer learning and data set re-sampling can improve classification accuracy by 10% over training on the smaller data set alone.","Machine learning, Transfer learning, Image classification"
Petneházi G,Quantile convolutional neural networks for Value at Risk forecasting,2021,"This article presents a new method for forecasting Value at Risk. Convolutional neural networks can do time series forecasting, since they can learn local patterns in time. A simple modification enables them to forecast not the mean, but arbitrary quantiles of the distribution, and thus allows them to be applied to VaR-forecasting. The proposed model can learn from the price history of different assets, and it seems to produce fairly accurate forecasts.","Quantile regression, Convolutional neural network, Value at Risk, Forecasting"
"Saeed A,Ungureanu V,Gfeller B",Sense and Learn: Self-supervision for omnipresent sensors,2021,"Learning general-purpose representations from multisensor data produced by the omnipresent sensing systems (or IoT in general) has numerous applications in diverse use cases. Existing purely supervised end-to-end deep learning techniques depend on the availability of a massive amount of well-curated data, acquiring which is notoriously difficult but required to achieve a sufficient level of generalization on a task of interest. In this work, we leverage the self-supervised learning paradigm towards realizing the vision of continual learning from unlabeled inputs. We present a generalized framework named Sense and Learn for representation or feature learning from raw sensory data. It consists of several auxiliary tasks that can learn high-level and broadly useful features entirely from unannotated data without any human involvement in the tedious labeling process. We demonstrate the efficacy of our approach on several publicly available datasets from different domains and in various settings, including linear separability, semi-supervised or few shot learning, and transfer learning. Our methodology achieves results that are competitive with the supervised approaches and close the gap through fine-tuning a network while learning the downstream tasks in most cases. In particular, we show that the self-supervised network can be utilized as initialization to significantly boost the performance in a low-data regime with as few as 5 labeled instances per class, which is of high practical importance to real-world problems. Likewise, the learned representations with self-supervision are found to be highly transferable between related datasets, even when few labeled instances are available from the target domains.","Self-supervised learning, Low-data regime, Sensors, Unsupervised learning, Neural networks, Time-series, Sensing"
"Sreeramula S,Rahardjo D",Estimating COVID-19 Rt in Real-time: An Indonesia health policy perspective,2021,"COVID-19 (SARS COV2 n-corona virus) is the newfangled virus of the coronavirus family. COVID-19 can cause serious illness with symptoms of fever, cold, cough, and respiratory blockage. COVID-19 is a contagious virus, which originated in Wuhan, China. After one month, WHO declared it as a Pandemic due to its rapid spreading. Presently, Indonesia is also facing a hard time controlling the spread. Hence, it is essential to understand the spread rate in Indonesia and to analyze the strategies to minimize the virus spread. The proposed study can be used to assess variations in virus spread both nationally, and sub-nationally. This allows public health officials and policy-makers to track the progress of the outbreak in near real-time using an epidemiologically valid measure.","Epidemic outbreak, Coronavirus, COVID-19, Bayesian, Likelihood, Spread rate, Posterior"
"Dong L,Inoue K",Super-resolution reconstruction based on two-stage residual neural network,2021,"With the constant update of deep learning technology, the super-resolution reconstruction technology based on deep learning has also attained a significant breakthrough. This paper primarily discusses the integration of deep learning and super-resolution reconstruction techniques. Regarding the application of deep learning in super-resolution reconstruction, the improvement is focused on the two dimensions of algorithm efficiency and reconstruction effect. On the basis of the currently available neural network algorithms, this paper puts forward the two-stage residual super-resolution reconstruction network structure. Thereinto, the improvement is mainly embodied in the modification of the image feature extraction network modules and the increase of the residual block into two stages. It is experimentally evidenced by algorithm simulation that the two-stage residual network in this paper shows a certain extent of improvement for the super-resolution reconstruction effect compared with the related methods.","Super-resolution reconstruction, Deep learning, Two-stage residual network"
"Abdollahi A,Pradhan B",Integrating semantic edges and segmentation information for building extraction from aerial images using UNet,2021,"Understanding urban dynamics, such as estimating population, urban development, and several other uses, necessitates up-to-date large-scale building maps. Since aerial imagery provides enough textural and structural details, it has been utilized as a critical data source for building detection. However, accurate mapping of building objects from aerial imagery is a challenging task. This problem is attributed due to presence of vegetation and shadows in images that present similar spectral values and transparency as a building class. To deal with the issues mentioned above, we offer a new deep-learning structure named MultiRes-UNet network, which is an improved version of the original UNet network. In the proposed network, we utilized the MultiRes block to assimilate the features learned from the data at various scales and comprise some more spatial details. Also, we suggest the incorporation of several convolutional operations along with the skip connections to mitigate the differences between the encode–decoder features. Furthermore, we integrated semantic edge information with semantic polygons to solve the issue of irregular semantic polygons and enhance the boundary of semantic polygons. We tested our network on aerial images for roof segmentation dataset, and the experimental results exhibited that the proposed network can improve the quantitative results of Intersection Over Union to 0.78% after adding semantic edges. We also used state-of-the-art comparative models such as UNet, DeeplabV3, ResNet, and FractalNet networks to show the competency of the introduced network, and the results prove the success of the introduced network for building object extraction from aerial imagery.","AIRS, Buildings mapping, Deep learning, MultiRes-UNet, UNet architecture, Remote sensing"
"Parr T,Wilson JD",Partial dependence through stratification,2021,"Partial dependence curves (FPD) are commonly used to explain feature importance once a supervised learning model has been fitted to data. However, it is common for the same partial dependence algorithm to give meaningfully different curves for different supervised models, even when the algorithm is applied to the same data. As a result, it is difficult to distinguish between model artifacts and true relationships in the data. In this paper, we contribute metods for computing partial dependence curves, for both numerical (StratPD) and categorical explanatory variables (CatStratPD), that work directly from training data rather than the predictions of a fitted model. Our methods provide a direct estimate of partial dependence, and rely on approximating the partial derivative of an unknown regression function. We investigate settings where contemporary partial dependence methods – including FPD, Accumulated Local Effects (ALE), and SHapley Additive exPlanations (SHAP) methods – give biased results. We demonstrate that our approach works correctly on synthetic data and plausibly on real data sets. This work motivates a new line of inquiry into nonparametric partial dependence that provides robust information about the variables considered in a supervised learning task.","Decision trees, Feature importance, Random forests, Variable importance"
"Ghojogh B,Karray F,Crowley M",Quantile–Quantile Embedding for distribution transformation and manifold embedding with ability to choose the embedding distribution,2021,"We propose a new embedding method, named Quantile–Quantile Embedding (QQE), for distribution transformation and manifold embedding with the ability to choose the embedding distribution. QQE, which uses the concept of quantile–quantile plot from visual statistical tests, can transform the distribution of data to any theoretical desired distribution or empirical reference sample. Moreover, QQE gives the user a choice of embedding distribution in embedding the manifold of data into the low dimensional embedding space. It can also be used for modifying the embedding distribution of other dimensionality reduction methods, such as PCA, t-SNE, and deep metric learning, for better representation or visualization of data. We propose QQE in both unsupervised and supervised forms. QQE can also transform a distribution to either an exact reference distribution or its shape. We show that QQE allows for better discrimination of classes in some cases. Our experiments on different synthetic and image datasets show the effectiveness of the proposed embedding method.","Quantile–Quantile Embedding (QQE), Quantile–quantile plot, Distribution transformation, Manifold embedding, Embedding distribution, Class discrimination"
"Amara A,Hadj Taieb MA,Ben Aouicha M",Network representation learning systematic review: Ancestors and current development state,2021,"Real-world information networks are increasingly occurring across various disciplines including online social networks and citation networks. These network data are generally characterized by sparseness, nonlinearity and heterogeneity bringing different challenges to the network analytics task to capture inherent properties from network data. Artificial intelligence and machine learning have been recently leveraged as powerful systems to learn insights from network data and deal with presented challenges. As part of machine learning techniques, graph embedding approaches are originally conceived for graphs constructed from feature represented datasets, like image dataset, in which links between nodes are explicitly defined. These traditional approaches cannot cope with network data challenges. As a new learning paradigm, network representation learning has been proposed to map a real-world information network into a low-dimensional space while preserving inherent properties of the network. In this paper, we present a systematic comprehensive survey of network representation learning, known also as network embedding, from birth to the current development state. Through the undertaken survey, we provide a comprehensive view of reasons behind the emergence of network embedding and, types of settings and models used in the network embedding pipeline. Thus, we introduce a brief history of representation learning and word representation learning ancestor of network embedding. We provide also formal definitions of basic concepts required to understand network representation learning followed by a description of network embedding pipeline. Most commonly used downstream tasks to evaluate embeddings, their evaluation metrics and popular datasets are highlighted. Finally, we present the open-source libraries for network embedding.","Network representation learning, Network embedding, Node embedding, Real-world information networks, Graph embedding, Low-dimensional vector"
"Mallick A,Dhara S,Rath S",Application of machine learning algorithms for prediction of sinter machine productivity,2021,"Sinter machine productivity is key techno-economic parameter of an integrated steel plant. It depends upon the composition of different constituents like iron ore fines, flux and coke breeze which are agglomerated to produce sinter for blast furnaces. It is difficult to assess the interdependence of these constituents and their effect on sinter productivity through physical experimentation. In this paper, machine learning and data analytics approach have been applied to predict the sinter machine productivity. Industrial data of sinter machine productivity from an integrated steel plant have been collected. Linear regression and artificial neural network (ANN) models were developed to predict sinter machine productivity with the composition of constituent materials of the agglomerate as model inputs. The ANN model, developed in the present work, agrees well with measured sinter machine productivity. Sensitivity analysis identified that, percentage of MgO in flux and CaO in sinter have a highly detrimental effect whereas total Fe content in iron ore fines and percentage of SiO 2 in sinter have the most favorable impact on sinter machine productivity.","Sinter machine productivity, Linear regression, Artificial neural network, Sensitivity analysis"
"Tuan PM,Phan TL,Adel M,Guedj E,Trung NL",AutoEncoder-based feature ranking for Alzheimer Disease classification using PET image,2021,"This paper presents a method of ranking the effectiveness of brain region of interest (ROI) in order to separate Normal Control (NC) from Alzheimer’s disease (AD) brains Positron Emission Tomography (PET) images based on AutoEncoder (AE) networks. Firstly, PET brains are mapped into ROIs using an anatomical atlas. Then, multiple AE models are trained and fine-tuned with softmax. After that, the connection weights learned from AEs are used to rank ROIs according to the total contribution of ROIs to the networks. We proposed a 2-phase feature ranking method which is able to significantly improve the ranking results. Lastly, the top-ranked ROIs are then input into a support vector machine (SVM) classifier. In experiments on ADNI dataset, the proposed method significantly improves the accuracy of the classifier when compared to other popular feature ranking methods such as: Fisher score, T-score, Conditional Mutual Information Maximization (CMIM), and Lasso. Our result shows that simple single-hidden-layer AE models can be used effectively to perform the feature ranking task. The proposed method could be easily applied to any image dataset where a feature selection is needed.","AutoEncoder feature ranking, Positron emission tomography, Alzheimer’s Disease classification"
"Asani E,Vahdat-Nejad H,Sadri J",Restaurant recommender system based on sentiment analysis,2021,"Today, exploiting sentiment analysis has become popular in designing recommender systems in various fields, including the restaurant and food area. However, most of the sentiment analysis-based restaurant recommender systems only use static information such as food quality, price, and service quality. The analysis of users’ opinions and the extraction of their food preferences lead to the provision of personalized recommendations, which is a research gap in literature; In this paper, a context-aware recommender system is proposed that extracts the food preferences of individuals from their comments and suggests restaurants in accordance with these preferences. For this purpose, the semantic approach is used to cluster the name of foods extracted from users’ comments and analyze their sentiments about them. Finally, nearby open restaurants are recommended based on their similarity to user preferences. For evaluation, the TripAdvisor website has been used and comments from 100 different users have been collected during the first 9 months of 2018. The precision, recall and f-measure of the system are measured in three scenarios of top1, top3, and top5. The results indicate that the proposed system can provide recommendations with a precision of 92.8%, giving users a high degree of precision. Besides, the system outperforms the previous research in these criteria.","Recommender system, Sentiment analysis, Context-awareness, Preference extraction, Semantic computing"
"Matharaarachchi S,Domaratzki M,Muthukumarana S",Assessing feature selection method performance with class imbalance data,2021,"Identifying the most informative features is a crucial step in feature selection. This paper focuses primarily on wrapper feature selection methods designed to detect important features with F1-score as the target metric. As an initial step, most wrapper methods order features according to importance. However, in most cases, the importance is defined according to the classification method used and varies with the characteristics of the data set. Using synthetically simulated data, we examine four existing feature ordering techniques to find the most desirable and the most effective ordering mechanism to identify informative features. Using the results, an improved method is suggested to extract the most informative feature subset from the data set. The method uses the sum of absolute values of the first k principal component loadings to order the features where k is a user-defined application-specific value. It also applies a sequential feature selection method to extract the best subset of features. We further compare the performance of the proposed feature selection method with results from the existing Recursive Feature Elimination (RFE) by simulating data for several practical scenarios with a different number of informative features and different imbalance rates. We also validate the method using a real-world application on several classification methods. The results based on the accuracy measures indicate that the proposed approach performs better than the existing feature selection methods.","Feature selection, Informative feature, Recursive feature elimination, Principal component loading"
"Paturi UM,Cheruku S,Pasunuri VP,Salike S,Reddy NS,Cheruku S",Machine learning and statistical approach in modeling and optimization of surface roughness in wire electrical discharge machining,2021,"The current work implements machine learning techniques such as artificial neural network (ANN), support vector machine (SVM), and genetic algorithm (GA) to model and optimize the surface roughness during wire electrical discharge machining (WEDM) of Inconel 718. For this, surface roughness values were obtained from real-time WEDM experiments conducted under the different levels of control factors such as pulse on time, pulse off time, peak current, servo voltage, and wire feed rate. The optimum ANN model architecture was identified as 5-10-10-1 and SVM parameters were tuned with the help of the grid search technique. The ANN and SVM models’ predictions were compared with response surface methodology (RSM) predictions and performance was evaluated based on correlation coefficient (R-value) between experimental and model predictions. The SVM predictions were accurate among all the models studied, as determined from the R-value of 0.99998 with experimental results and the least mean absolute percentage error (MAPE) of 0.0347%. Further, the GA approach was implemented using the developed RSM equation as the fitness function and led to 61.31% improvement in the surface roughness. The proposed SVM and GA approach would help quick and high accurate prediction and optimization of surface roughness during WEDM of Inconel 718.","Artificial neural network, Support vector machine, Response surface methodology, Genetic algorithm, WEDM, Surface roughness"
"Liew XY,Hameed N,Clos J",An investigation of XGBoost-based algorithm for breast cancer classification,2021,"Breast cancer is one of the leading cancers affecting women around the world. The Computer-Aided Diagnosis (CAD) system is a powerful tool to assist pathologists during the process of diagnosing cancer, which effectively identifies the presence of cancerous cells. A standard CAD system includes processes of pre-processing, feature extraction, feature selection and classification. In this paper, we propose an enhanced breast cancer classification technique called Deep Learning and eXtreme Gradient Boosting (DLXGB) on histopathology breast cancer images using the BreaKHis dataset. This method first applies data augmentation and stain normalization for pre-processing, then pre-trained DenseNet201 will automatically learn features within an image and combine with a powerful gradient boosting classifier. The proposed classification technique is designed to classify breast cancer histology images into binary benign and malignant, and additionally one of eight non-overlapping/overlapping categories: i.e., Adenosis (A), Fibroadenoma (F), Phyllodes Tumour (PT), And Tubular Adenoma (TA) Ductal Carcinoma (DC), Lobular Carcinoma (LC), Mucinous Carcinoma (MC), And Papillary Carcinoma (PC). With DLXGB, we have obtained an accuracy of 97% for both binary and multi-classification improving the exiting work done by researchers using the BreaKHis dataset. The results indicated that this method could produce a powerful prediction for breast cancer image classification.","Deep learning, Extreme gradient boosting, XGBoost, Machine learning, Computer-aided diagnosis, Breast cancer, Histopathology images, Classification"
"Bishop TR,von Hinke S,Hollingsworth B,Lake AA,Brown H,Burgoine T",Automatic classification of takeaway food outlet cuisine type using machine (deep) learning,2021,"Background and purpose: Researchers have not disaggregated neighbourhood exposure to takeaway (‘fast-’) food outlets by cuisine type sold, which would otherwise permit examination of differential impacts on diet, obesity and related disease. This is partly due to the substantial resource challenge of manual classification of unclassified takeaway outlets at scale. We describe the development of a new model to automatically classify takeaway food outlets, by 10 major cuisine types, based on business name alone. Material and methods: We used machine (deep) learning, and specifically a Long Short Term Memory variant of a Recurrent Neural Network, to develop a predictive model trained on labelled outlets (n=14,145), from an online takeaway food ordering platform. We validated the accuracy of predictions on unseen labelled outlets (n=4,000) from the same source. Results: Although accuracy of prediction varied by cuisine type, overall the model (or ‘classifier’) made a correct prediction approximately three out of four times. We demonstrated the potential of the classifier to public health researchers and for surveillance to support decision-making, through using it to characterise nearly 55,000 takeaway food outlets in England by cuisine type, for the first time. Conclusions: Although imperfect, we successfully developed a model to classify takeaway food outlets, by 10 major cuisine types, from business name alone, using innovative data science methods. We have made the model available for use elsewhere by others, including in other contexts and to characterise other types of food outlets, and for further development.","Takeaway (‘fast-’) food outlets, Cuisine type, Classification, Machine (deep) learning, Universal Language Model Fine-tuning (ULMFiT), Data science"
"Arias-Garzón D,Alzate-Grisales JA,Orozco-Arias S,Arteaga-Arteaga HB,Bravo-Ortiz MA,Mora-Rubio A,Saborit-Torres JM,Serrano JÁ,de la Iglesia Vayá M,Cardona-Morales O,Tabares-Soto R",COVID-19 detection in X-ray images using convolutional neural networks,2021,"COVID-19 global pandemic affects health care and lifestyle worldwide, and its early detection is critical to control cases’ spreading and mortality. The actual leader diagnosis test is the Reverse transcription Polymerase chain reaction (RT-PCR), result times and cost of these tests are high, so other fast and accessible diagnostic tools are needed. Inspired by recent research that correlates the presence of COVID-19 to findings in Chest X-ray images, this papers’ approach uses existing deep learning models (VGG19 and U-Net) to process these images and classify them as positive or negative for COVID-19. The proposed system involves a preprocessing stage with lung segmentation, removing the surroundings which does not offer relevant information for the task and may produce biased results; after this initial stage comes the classification model trained under the transfer learning scheme; and finally, results analysis and interpretation via heat maps visualization. The best models achieved a detection accuracy of COVID-19 around 97%.","COVID-19, Deep learning, Transfer learning, X-ray, Segmentation"
"Lumini A,Nanni L,Scattolaro L,Maguolo G",Image orientation detection by ensembles of Stochastic CNNs,2021,"In this paper we deal with the problem of accurately and automatically detecting the orientation of general images, for instance, of holiday snapshots. Detecting image orientation is an easy task for a human being but can be a long and tedious activity during processing and management of digital photos. Several attempts have been made in the design of systems for automated displaying images in their correct orientation, however, this is still an open problem. In this work we exploit the power of deep learning proposing a transfer learning approach that adjusts pre-trained convolutional neural networks to this classification task. We create ensembles of different Convolutional Neural Network models designed by randomly changing the activation functions in all the activation layers of a given network. Along with several known activation functions we also include the novel Soft Learnable activation function in the “random set”. Our resulting ensembles have been extensively evaluated on more than 45,000 images taken from four different public datasets, showing a remarkable performance improvement with respect to other state-of-the-art approaches. All the source code used for this work is freely available at https://github.com/LorisNanni/.","Image orientation detection, Convolutional neural networks, Photo orientation, Deep learning, Transfer learning"
"Kamath C,Franzman J,Ponmalai R","Data mining for faster, interpretable solutions to inverse problems: A case study using additive manufacturing",2021,"Solving inverse problems, where we find the input values that result in desired values of outputs, can be challenging. The solution process is often computationally expensive and it can be difficult to interpret the solution in high-dimensional input spaces. In this paper, we use a problem from additive manufacturing to address these two issues with the intent of making it easier to solve inverse problems and exploit their results. First, focusing on Gaussian process surrogates that are used to solve inverse problems, we describe how a simple modification to the idea of tapering can substantially speed up the surrogate without losing accuracy in prediction. Unlike block tapering, which approximates the covariance matrix by diagonal blocks, our approach divides the data itself into blocks. Both approaches reduce the computational cost by replacing the Cholesky decomposition of the full matrix by the decomposition of multiple smaller matrices, but our approach gives accurate predictions despite the approximation as we identify hyperparameters optimal for each block. Second, we demonstrate that Kohonen self-organizing maps can be used to visualize and interpret the solution to the inverse problem in the high-dimensional input space. For our data set, as not all input dimensions are equally important, we show that using weighted distances results in a better organized map that not only makes the relationships among the inputs obvious, but also indicates the location of the solution in the input space so an additive manufacturing engineer can control the inputs appropriately for a desired output.","Inverse problem, Code surrogate, Gaussian process, Kohonen maps"
"Bachute MR,Subhedar JM",Autonomous Driving Architectures: Insights of Machine Learning and Deep Learning Algorithms,2021,"Research in Autonomous Driving is taking momentum due to the inherent advantages of autonomous driving systems. The main advantage being the disassociation of the driver from the vehicle reducing the human intervention. However, the Autonomous Driving System involves many subsystems which need to be integrated as a whole system. Some of the tasks include Motion Planning, Vehicle Localization, Pedestrian Detection, Traffic Sign Detection, Road-marking Detection, Automated Parking, Vehicle Cybersecurity, and System Fault Diagnosis. This paper aims to the overview of various Machine Learning and Deep Learning Algorithms used in Autonomous Driving Architectures for different tasks like Motion Planning, Vehicle Localization, Pedestrian Detection, Traffic Sign Detection, Road-marking Detection, Automated Parking, Vehicle Cybersecurity and Fault Diagnosis. This paper surveys the technical aspects of Machine Learning and Deep Learning Algorithms used for Autonomous Driving Systems. Comparison of these algorithms is done based on the metrics like mean Intersect in over Union (mIoU), Average Precision (AP)missed detection rate, miss rate False Positives Per Image (FPPI), and average number for false frame detection. This study contributes to picture a review of the Machine Learning and Deep Learning Algorithms used for Autonomous Driving Systems and is organized based on the different tasks of the system.","Autonomous Driving, Localization, Motion planning, Pedestrian detection, Perception, Taxonomy"
"Giri K,Biswas TK,Sarkar P",ECR-DBSCAN: An improved DBSCAN based on computational geometry,2021,"A new density based clustering algorithm ECR−DBSCAN based on DBSCAN, has been presented in this paper. Computational geometry is applied to develop the modified DBSCAN algorithm. It is well known that the quality of density based clustering depends on its input parameters. However, it is not easy to determine proper values of input parameters for DBSCAN. This paper presents three significant modifications or extensions to DBSCAN related with (i) selection of hyper parameter epsilon (eps) using the radii of empty or voronoi circles (ii) selection of parameter minPoints (mp) for the same epsilon and (iii) redistribution of noise points to suitable clusters using the concept of centroid hinged clustering. ECR−DBSCAN is implemented with PYTHON accompanied by extensive experiment on benchmark data sets. Our experimental results establish the novelty and validity of the proposed clustering method over standard techniques.","Computational geometry, Empty circles, DBSCAN, KNN, Noise, Performance metrics"
"Kundu S,Maulik U",Cloud deployment of game theoretic categorical clustering using apache spark: An application to car recommendation,2021,"Personal vehicles are invariably being preferred over public transport nowadays. Contact-less feature inspection and analysis based on personal preferences will be in high demand among customers in the post-pandemic world. A comprehensive online car recommendation system will be the customers’ spontaneous choice to understand and select the features of vehicles. However, the clustering of such categorical features is a challenging task as it is difficult to compare two textual attributes. In this paper, we have designed a cloud-based system that will automatically address this issue. Motivated by the cooperative game theory and fuzzy technique, and integrating the concept of Shapley theorem, a categorical data clustering algorithm has been developed. At the same time, to overcome the major limitation of having a high time complexity of the order O (n2) associated with the Shapley computation, the proposed algorithm has been distributed using Apache Spark’s Map Reduce architecture in Google Cloud Platform. The model has been thoroughly validated based on its performance on several synthetic as well as real data sets. Finally, a car recommendation system has been proposed and tested on three car sell data sets. The proposed approach outperforms the corresponding existing categorical clustering approaches in terms of various clustering validity indices. To the best of the authors’ knowledge, this is the first attempt to apply Map Reduce based Shapley computation over the categorical clustering, which can find its application beyond the proposed car recommendation system as well.","Car recommendation, Categorical clustering, Cooperative game theory, Shapley value, Apache spark’s"
"Vryzas N,Vrysis L,Kotsakis R,Dimoulas C",A web crowdsourcing framework for transfer learning and personalized Speech Emotion Recognition,2021,"Speech Emotion Recognition (SER) is an important part of Affective Computing and emotionally aware Human–Computer Interaction. Emotional expression may vary depending on the language, culture, and the speaker’s personality and vocal attributes. Speaker-adaptive systems can address this issue. In real-world applications, it is not feasible to obtain big datasets for deep learning model training from a specific speaker. This paper proposes a transfer learning approach for personalized SER based on convolutional neural networks. A CNN is trained in a multi-user dataset for generalization and then is fine-tuned for a small speaker-specific dataset. A VGGish model, pre-trained a large-scale dataset for audio event recognition is also evaluated for the task. This comparison highlights the significance of network capacity, dataset length, and domain-relativity for transfer learning. To enhance the applicability of this approach in real-world conditions, a web crowdsourcing application is implemented. An online platform is provided where contributors can follow a standard procedure to record and submit annotated utterances of emotional speech. The recordings are validated and added to the publicly available AESDD dataset of emotional speech. The platform can be used for the creation of personalized emotional speech datasets for speaker-adaptive SER, following the transfer learning strategies that have been evaluated.","Speech Emotion Recognition, Transfer learning, Crowdsourcing, Convolutional neural networks, VGGish"
